BERT pattern,cohen_kappa,matthews_corrcoef,log_loss,micro-accuracy,macro avg precision,macro avg recall,macro avg f1-score,weighted avg precision,weighted avg recall,weighted avg f1-score
max,0.9039655172413793,0.9041965325910677,2.6989770741291115,0.9071666666666667,0.9135315487297725,0.9071666666666666,0.9069425365194769,0.9135315487297727,0.9071666666666667,0.906942536519477
mean,0.896551724137931,0.896801368599215,2.3191338915148987,0.9,0.9067939358521409,0.8999999999999999,0.8997515516024228,0.9067939358521409,0.9,0.8997515516024226
default,0.8981034482758621,2.424897058796789,0.9017309118198286,0.9092042362172912,0.9015000000000001,0.8983720707070826,0.9015,0.9017309118198285,0.9092042362172909,0.9015
cat,0.8767241379310344,2.636909408154376,0.880179848088076,0.8914014260475561,0.8808333333333332,0.8771216296284584,0.8808333333333334,0.8801798480880761,0.8914014260475563,0.8808333333333334
